logFC	logCPM	LR	PValue	FDR
APOE	2.93510348509814	7.69091551380761	20.5876456342116	5.69625273761565e-06	4.85171179118924e-05
APOLD1	-1.52763435828189	5.01491752037803	31.365071441104	2.13792629980353e-08	3.27897943269983e-07
AQP1	-1.55046059826081	7.04863533950798	16.58666381421	4.64766927632185e-05	0.000304688214667637
AQP4	-7.94095968107058	2.93342479607999	87.6911889418682	7.65144816827389e-21	1.08897384898143e-18
AQP9	2.2049311960359	2.28164626567456	12.0027483405099	0.000531221534372037	0.00242289739109176
ARC	-1.85955012873684	2.19402712006363	13.3138503421836	0.00026345280964006	0.00134427964086192
ARHGAP10	-1.65197738912684	4.43248014666865	48.7615135425471	2.89056677562205e-12	9.24143522756848e-11
ARHGAP11A	2.27408246348793	5.81013186901199	61.0174367098371	5.65715339023619e-15	3.09413563112257e-13
ARHGAP11B	2.3132039781812	1.99378966304634	44.0978081468568	3.12370526450833e-11	8.04384491848877e-10
ARHGAP18	-1.27677384602926	5.15105561052181	21.7205006914182	3.15402627405661e-06	2.87116174438881e-05
ARHGAP20	-1.24901283823419	1.77067811264008	12.0783031241261	0.000510120049690964	0.00234524104817979
ARHGAP24	-1.85582286709001	3.88031188670597	59.0364760403518	1.54776068241676e-14	7.75990923957129e-13
ARHGAP39	1.19153139157149	4.99091728929205	17.5408342470323	2.81203036221863e-05	0.000198084267558945
ARHGAP6	-1.80170256696967	2.78185414045853	24.6958363679258	6.71290407237269e-07	7.46028533181569e-06
ARHGDIB	1.15382742138572	6.39268701950252	10.4590968528605	0.001220469336297	0.00485838560457957
ARHGEF10	-1.04515774380969	5.05744889511415	14.077354552914	0.000175443404285045	0.000952489294141449
ARHGEF15	-1.16726727528767	3.14001836245884	15.5101624202348	8.20628844489199e-05	0.0004971095371011
ARHGEF37	-1.98352019364401	4.95792350578694	59.0435140892957	1.54223459958989e-14	7.75990923957129e-13
ARHGEF9	-1.18259103390347	4.37520934132286	25.3630257096328	4.74934501121935e-07	5.49495896577791e-06
ARID3A	1.71028479453969	4.21107343594095	13.315094483423	0.000263278059782836	0.00134390605448732
ARID5A	-1.42701370453604	5.40787896464813	39.4829719209231	3.30932569753227e-10	7.2640522276181e-09
ARL11	1.88772430166637	1.83557867814	12.3680002233398	0.000436755158577208	0.00205872196543017
ARL4C	1.22148007511899	6.12273354601978	8.82964071450215	0.00296376731288101	0.0102665334083468
ARL6IP1	1.22276911652489	8.3833605327223	22.5783612286852	2.01744127893568e-06	1.96633672812906e-05
ARL6IP6	1.27429374943898	5.22686630630415	27.0221658001921	2.0113570307836e-07	2.52105318744808e-06
