Sample	Annotation	StemnessScore
TCGA-L5-A4OH-01A	TP	0.848694749464144
TCGA-LN-A49U-01A	TP	0.60074966095018
TCGA-R6-A8W8-01B	TP	0.754215246926626
TCGA-LN-A4A4-01A	TP	0.485762969484098
TCGA-Q9-A6FW-01A	TP	0.419630511763572
TCGA-L5-A4OO-11A	NT	0.147283173228048
TCGA-V5-A7RC-06A	0	0.744608275024752
TCGA-R6-A6XG-01B	TP	0.983714649046207
TCGA-R6-A6L6-01B	TP	0.706258229897629
TCGA-IG-A3I8-11A	NT	0.105907142088852
TCGA-L7-A6VZ-01A	TP	0.839689901286659
TCGA-Z6-A8JD-01A	TP	0.546335610926659
TCGA-JY-A6FE-01A	TP	0.554292928103129
TCGA-KH-A6WC-01A	TP	0.572664621123852
TCGA-LN-A49Y-01A	TP	0.757114137139131
TCGA-2H-A9GL-01A	TP	0.610938929057201
TCGA-2H-A9GH-01A	TP	0.691236913296215
TCGA-LN-A5U7-01A	TP	0.731755894550658
TCGA-R6-A6Y0-01B	TP	0.62812053249146
TCGA-IG-A4P3-01A	TP	0.602721990208662
TCGA-L5-A43C-11A	NT	0.434925024784198
TCGA-IG-A4QT-01A	TP	0.562313065009074
TCGA-L5-A8NE-01A	TP	0.781876567184898
TCGA-LN-A8HZ-01A	TP	0.809964771546869
TCGA-L5-A4OR-01A	TP	0.793884172767709
TCGA-IG-A625-01A	TP	0.60247471264717
TCGA-VR-A8EO-01A	TP	0.796275321147929
TCGA-IG-A3YB-01A	TP	0.482358810973162
TCGA-XP-A8T8-01A	TP	0.8399271228307
TCGA-LN-A7HY-01A	TP	0.439245512093336
TCGA-S8-A6BV-01A	TP	0.426871556990917
TCGA-L5-A8NQ-01A	TP	0.549360411464807
TCGA-L5-A4OI-01A	TP	0.790841692886124
TCGA-L5-A88S-01A	TP	0.210554031683978
TCGA-IG-A3YC-01A	TP	0.443545377217596
TCGA-IG-A3I8-01A	TP	0.517927388169188
